ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION,valid_ICD10_2025,valid_ICD10_2026
C50919,12.0,,age >= 50,,True,True
C50921,11.0,,age < 50,,True,True
C50921,12.0,,age >= 50,,True,True
C50922,11.0,,age < 50,,True,True
C50922,12.0,,age >= 50,,True,True
C50929,11.0,,age < 50,,True,True
C50929,12.0,,age >= 50,,True,True
C50A0,11.0,,age < 50,,False,True
C50A0,12.0,,age >= 50,,False,True
C50A1,11.0,,age < 50,,False,True
C50A1,12.0,,age >= 50,,False,True
C50A2,11.0,,age < 50,,False,True
C50A2,12.0,,age >= 50,,False,True
C510,12.0,,,,True,True
C511,12.0,,,,True,True
C512,12.0,,,,True,True
C518,12.0,,,,True,True
C519,12.0,,,,True,True
C52,12.0,,,,True,True
C530,12.0,,,,True,True
C531,12.0,,,,True,True
C538,12.0,,,,True,True
C539,12.0,,,,True,True
C540,12.0,,,,True,True
C541,12.0,,,,True,True
C542,12.0,,,,True,True
C543,12.0,,,,True,True
C548,12.0,,,,True,True
C549,12.0,,,,True,True
C55,12.0,,,,True,True
C561,11.0,,,,True,True
C562,11.0,,,,True,True
C563,11.0,,,,True,True
C569,11.0,,,,True,True
C5700,11.0,,,,True,True
C5701,11.0,,,,True,True
C5702,11.0,,,,True,True
C5710,11.0,,,,True,True
C5711,11.0,,,,True,True
C5712,11.0,,,,True,True
C5720,11.0,,,,True,True
C5721,11.0,,,,True,True
C5722,11.0,,,,True,True
C573,11.0,,,,True,True
C574,11.0,,,,True,True
C577,12.0,,,,True,True
C578,12.0,,,,True,True
C579,12.0,,,,True,True
C58,11.0,9 <= age <= 64,,,True,True
C600,13.0,,,,True,True
C601,13.0,,,,True,True
C602,13.0,,,,True,True
C608,13.0,,,,True,True
C609,13.0,,,,True,True
C61,12.0,,,,True,True
C6200,13.0,,,,True,True
C6201,13.0,,,,True,True
C6202,13.0,,,,True,True
C6210,13.0,,,,True,True
C6211,13.0,,,,True,True
C6212,13.0,,,,True,True
C6290,13.0,,,,True,True
C6291,13.0,,,,True,True
C6292,13.0,,,,True,True
C6300,13.0,,,,True,True
C6301,13.0,,,,True,True
C6302,13.0,,,,True,True
C6310,13.0,,,,True,True
C6311,13.0,,,,True,True
C6312,13.0,,,,True,True
C632,13.0,,,,True,True
C637,13.0,,,,True,True
C638,13.0,,,,True,True
C639,13.0,,,,True,True
C641,11.0,,,,True,True
C642,11.0,,,,True,True
C649,11.0,,,,True,True
C651,11.0,,,,True,True
C652,11.0,,,,True,True
C659,11.0,,,,True,True
C661,12.0,,,,True,True
C662,12.0,,,,True,True
C669,12.0,,,,True,True
C670,12.0,,,,True,True
C671,12.0,,,,True,True
C672,12.0,,,,True,True
C673,12.0,,,,True,True
C674,12.0,,,,True,True
C675,12.0,,,,True,True
C676,12.0,,,,True,True
C677,12.0,,,,True,True
C678,12.0,,,,True,True
C679,12.0,,,,True,True
C680,12.0,,,,True,True
C681,12.0,,,,True,True
C688,12.0,,,,True,True
C689,12.0,,,,True,True
C6900,12.0,,,,True,True
C6901,12.0,,,,True,True
C6902,12.0,,,,True,True
C6910,12.0,,,,True,True
C6911,12.0,,,,True,True
C6912,12.0,,,,True,True
C6920,12.0,,,,True,True
C6921,12.0,,,,True,True
C6922,12.0,,,,True,True
C6930,12.0,,,,True,True
C6931,12.0,,,,True,True
C6932,12.0,,,,True,True
C6940,12.0,,,,True,True
C6941,12.0,,,,True,True
C6942,12.0,,,,True,True
C6950,12.0,,,,True,True
C6951,12.0,,,,True,True
C6952,12.0,,,,True,True
C6960,12.0,,,,True,True
C6961,12.0,,,,True,True
C6962,12.0,,,,True,True
C6980,12.0,,,,True,True
C6981,12.0,,,,True,True
C6982,12.0,,,,True,True
C6990,12.0,,,,True,True
